                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5808,                 6.4765,                 1.7923,                0.74751,                    0.1,                0.18129,                0.10979,                0.94412,                 4.3653,                  1.302,               6.25e-05,               6.25e-05,               6.25e-05
                      2,                0.72436,                 3.5475,                 1.0942,                0.61192,                   0.35,                0.46812,                0.34096,                0.91122,                 6.4215,                  1.507,             0.00012475,             0.00012475,             0.00012475
                      3,                0.56013,                 2.5791,                 1.0295,                0.60243,                   0.45,                0.44474,                0.39156,                0.79698,                 6.7256,                 1.2276,              0.0001802,              0.0001802,              0.0001802
                      4,                0.53799,                 2.3623,                 0.9637,                0.68475,                0.45719,                0.55973,                0.52947,                0.57358,                 7.7878,                0.99758,             0.00022884,             0.00022884,             0.00022884
                      5,                0.56374,                  1.886,                0.99177,                0.66033,                   0.75,                0.79231,                0.61959,                0.79794,                 3.0084,                 1.3456,             0.00027068,             0.00027068,             0.00027068
                      6,                0.54273,                 1.4635,                0.96998,                 0.3814,                0.65215,                0.54079,                0.42492,                0.76357,                 4.2702,                 1.2461,              0.0003057,              0.0003057,              0.0003057
                      7,                0.61405,                 1.4351,                0.98636,                0.66903,                0.49041,                0.65905,                0.54126,                0.61495,                 2.9215,                 1.1068,             0.00033392,             0.00033392,             0.00033392
                      8,                0.61046,                 1.4147,                0.98829,                 0.3839,                   0.85,                0.81502,                0.70838,                0.60338,                 4.3467,                 1.1785,             0.00035534,             0.00035534,             0.00035534
                      9,                0.61107,                 1.3818,                0.99597,                0.52227,                 0.6864,                 0.8125,                0.69484,                0.66229,                 2.8808,                 1.2241,             0.00036995,             0.00036995,             0.00036995
                     10,                0.61576,                 1.3063,                 1.0303,                0.84139,                0.41667,                0.53645,                0.41076,                0.86765,                 2.8161,                 1.6269,             0.00034656,             0.00034656,             0.00034656
                     11,                0.58554,                 1.0929,                 1.0172,                0.52784,                    0.7,                0.73279,                0.66289,                0.56668,                 1.7643,                 1.1323,             0.00031562,             0.00031562,             0.00031562
                     12,                0.55068,                 1.0592,                 1.0021,                0.51133,                0.72777,                0.65123,                 0.5592,                0.65063,                 2.5001,                 1.1961,             0.00028469,             0.00028469,             0.00028469
                     13,                0.50617,                 0.9123,                 0.9814,                 0.7042,                0.60904,                0.70816,                0.67183,                 0.5488,                 1.9519,                  1.069,             0.00025375,             0.00025375,             0.00025375
                     14,                0.45811,                0.75116,                0.94139,                0.80538,                0.79383,                0.82917,                0.72866,                0.67872,                 1.5946,                 1.2662,             0.00022281,             0.00022281,             0.00022281
                     15,                0.45237,                0.79347,                0.90654,                0.78876,                0.74173,                0.75074,                0.66204,                0.57098,                 1.2394,                 1.1185,             0.00019188,             0.00019188,             0.00019188
                     16,                0.46263,                0.66017,                0.95047,                0.83481,                   0.75,                0.86039,                 0.7783,                0.52516,                 1.0723,                 1.0424,             0.00016094,             0.00016094,             0.00016094
                     17,                0.43857,                0.60875,                0.87171,                0.76275,                   0.85,                0.85738,                0.77809,                0.54805,                0.89921,                 1.0538,                0.00013,                0.00013,                0.00013
                     18,                0.40692,                0.56986,                0.89522,                0.91971,                   0.85,                0.86343,                0.81838,                0.53822,                0.72711,                 1.0632,             9.9063e-05,             9.9063e-05,             9.9063e-05
                     19,                0.38399,                0.47137,                0.87269,                0.90357,                   0.85,                0.85815,                 0.7884,                0.53384,                0.81421,                 1.0383,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     20,                0.34117,                 0.4337,                0.87374,                0.67446,                   0.85,                 0.8722,                0.81991,                0.51568,                0.88332,                 1.0027,             3.7188e-05,             3.7188e-05,             3.7188e-05
